"Dato","Arr/Dep","Rutenr.","STA/STD","A/C","Org./Des."
"9/19/2019","A","D8 3563 ","0:10","73H","KRK "
"9/19/2019","A","JTG360  ","0:10","73H","AHO "
"9/19/2019","A","SK 9250 ","0:10","CR9","ARN "
"9/19/2019","D","SU 2497 ","0:10","73H","SVO "
"9/19/2019","A","SK 1546 ","0:35","CR9","MAN "
"9/19/2019","A","D8 3733 ","0:40","73H","FCO "
"9/19/2019","A","QY 174  ","1:35","75V","LEJ "
"9/19/2019","A","DK 1169 ","2:30","32B","RHO "
"9/19/2019","D","QY 179  ","2:35","75V","LEJ "
"9/19/2019","A","QY 388  ","3:35","73P","CGN "
"9/19/2019","A","QY 176  ","3:45","73P","LEJ "
"9/19/2019","A","QY 318  ","4:20","ABY","BRU "
"9/19/2019","A","QY 336  ","4:40","75C","EMA "
"9/19/2019","A","QY 178  ","4:45","ABY","LEJ "
"9/19/2019","A","D8 3407 ","5:15","73H","RAK "
"9/19/2019","D","QY 3848 ","5:30","73P","HEL "
"9/19/2019","A","FX 5182 ","5:40","75C","CDG "
"9/19/2019","D","QY 3264 ","5:40","ABY","GOT "
"9/19/2019","D","QY 3906 ","5:50","75C","ORB "
"9/19/2019","D","KL 1124 ","6:00","73H","AMS "
"9/19/2019","D","QY 3316 ","6:00","ABY","OSL "
"9/19/2019","D","SK 452  ","6:00","321","OSL "
"9/19/2019","D","SK 585  ","6:00","321","PMI "
"9/19/2019","D","TP 753  ","6:00","32A","LIS "
"9/19/2019","D","D8 3664 ","6:05","73H","PMI "
"9/19/2019","D","LH 2447 ","6:05","319","MUC "
"9/19/2019","D","LX 1279 ","6:05","320","ZRH "
"9/19/2019","D","AF 1351 ","6:15","319","CDG "
"9/19/2019","D","SK 400  ","6:15","319","ARN "
"9/19/2019","D","D8 3660 ","6:20","321","ALC "
"9/19/2019","D","D8 3672 ","6:20","73H","AGP "
"9/19/2019","A","SQ 352  ","6:25","77W","SIN "
"9/19/2019","A","DX 031  ","6:40","AT4","RNN "
"9/19/2019","A","SK 1240 ","6:40","AT7","AAR "
"9/19/2019","D","D8 3350 ","6:40","73H","CHQ "
"9/19/2019","D","SN 2268 ","6:40","319","BRU "
"9/19/2019","D","TK 1788 ","6:45","321","IST "
"9/19/2019","A","FR 7621 ","6:50","73H","KUN "
"9/19/2019","D","D8 2899 ","6:50","73H","LGW "
"9/19/2019","D","LH 833  ","6:50","32A","FRA "
"9/19/2019","A","SK 928  ","6:55","333","BOS "
"9/19/2019","D","QY 3162 ","6:55","73P","SVG "
"9/19/2019","D","SK 1706 ","6:55","321","HEL "
"9/19/2019","A","DX 071  ","7:00","AT4","KRP "
"9/19/2019","A","SK 743  ","7:00","CR9","VNO "
"9/19/2019","D","D8 3194 ","7:00","73H","ARN "
"9/19/2019","D","D8 3580 ","7:00","73H","PRG "
"9/19/2019","D","JTG245  ","7:00","73W","AYT "
"9/19/2019","D","LO 460  ","7:00","E75","WAW "
"9/19/2019","A","QR 161  ","7:05","77W","DOH "
"9/19/2019","A","SK 1228 ","7:05","321","AAL "
"9/19/2019","A","SK 1439 ","7:05","CR9","GOT "
"9/19/2019","A","SK 1791 ","7:05","CR9","TLL "
"9/19/2019","A","SK 2749 ","7:05","CR9","PLQ "
"9/19/2019","A","WF 262  ","7:05","DH4","KRS "
"9/19/2019","D","P8 3272 ","7:05","SFF","AES "
"9/19/2019","D","SK 639  ","7:05","319","FRA "
"9/19/2019","A","D8 3079 ","7:10","73H","AAL "
"9/19/2019","A","SK 1280 ","7:10","AT7","BLL "
"9/19/2019","A","SK 1758 ","7:10","319","GDN "
"9/19/2019","A","SK 1871 ","7:10","321","SVG "
"9/19/2019","D","D8 3221 ","7:10","73H","OSL "
"9/19/2019","D","DX 072  ","7:10","AT4","KRP "
"9/19/2019","D","OS 308  ","7:10","321","VIE "
"9/19/2019","D","P8 3050 ","7:10","SFF","KRS "
"9/19/2019","D","SK 1205 ","7:10","CR9","AAL "
"9/19/2019","A","SK 1461 ","7:15","73H","OSL "
"9/19/2019","A","SK 910  ","7:15","333","EWR "
"9/19/2019","A","SK 926  ","7:15","343","IAD "
"9/19/2019","D","FR 7383 ","7:15","73H","STN "
"9/19/2019","A","SK 1415 ","7:20","73H","ARN "
"9/19/2019","A","SK 2861 ","7:20","32A","BGO "
"9/19/2019","D","AY 962  ","7:20","319","HEL "
"9/19/2019","D","BA 811  ","7:20","320","LHR "
